Position,Team,per,ws,bpm,Year,CareerLen,Rank,Value,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,College,Target
SG,CLE,13.4,3.4,0.2,2018,14,5,1325.0,2,2,4,1,2,1,1,2,1,1,1,0,0,1,0,1,0,1,11,0,1,2,1,3,0,2,3,1,1,0,Creighton,UTA
SG,ATL,12.0,0.4,-1.9,2018,0,26,1150.0,0,3,7,1,0,0,1,0,2,1,1,4,0,2,1,1,1,1,2,1,1,0,2,0,1,3,2,0,1,0,"Drexel, Louisville",GSW
C,PHO,19.4,4.5,0.3,2018,4,29,1280.0,0,1,0,1,1,1,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,Maryland,ATL
SF,SAS,26.0,0.9,10.1,2018,6,12,1550.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,San Diego State,TOR
PG,BRK,15.9,0.0,-5.4,2018,7,22,2300.0,0,0,3,1,1,0,1,0,1,1,0,0,0,1,0,0,3,0,2,1,0,0,0,1,2,0,0,6,0,1,Harvard University,TOR
PG,ORL,13.3,1.9,-1.4,2018,6,25,1225.0,0,0,6,1,4,1,4,0,1,1,1,0,1,3,0,5,3,2,4,1,4,1,0,1,6,1,2,1,6,3,Butler,CHO
C,MIL,10.2,1.5,-3.5,2018,1,15,1075.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,4,1,0,0,0,0,DET
PF,MEM,10.5,1.3,-4.0,2018,2,28,1025.0,0,0,1,2,0,0,2,0,0,1,0,2,0,0,2,0,1,1,0,1,0,0,0,0,2,2,1,1,1,0,LSU,ORL
SF,DAL,11.4,2.6,-0.9,2018,8,27,1900.0,0,2,2,1,0,1,0,0,1,1,1,2,3,2,1,0,1,1,1,0,1,0,0,0,1,1,2,1,0,1,Marquette,IND
PF,HOU,10.3,2.8,-0.2,2018,9,0,2200.0,2,2,3,2,2,1,0,2,4,1,2,2,1,0,2,1,1,5,2,1,0,1,2,0,2,1,3,0,2,2,UCLA,LAC
SG,GSW,7.4,0.6,-4.1,2018,1,2,3100.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2,UNLV,TOR
SF,NYK,9.9,1.3,-2.1,2018,3,21,3600.0,0,0,1,4,1,1,1,1,0,1,1,1,1,1,0,1,3,5,2,2,0,2,0,0,2,2,4,0,2,1,Creighton,IND
SF,DAL,11.5,1.0,-2.6,2018,3,27,1900.0,0,0,1,4,1,1,1,0,0,1,1,1,1,1,0,1,3,5,2,2,0,2,0,0,2,2,4,0,2,1,Creighton,IND
C,GSW,22.3,2.7,1.5,2018,9,2,3100.0,0,5,0,1,2,0,3,4,3,2,1,2,1,1,1,1,1,3,0,2,4,1,4,0,5,1,1,0,4,2,Nevada,LAL
SF,TOR,10.1,0.1,-3.0,2018,0,1,1400.0,0,1,3,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,Green Bay,GSW
SG,MEM,9.7,0.5,-3.9,2018,4,28,1025.0,1,4,4,0,3,2,6,2,4,1,1,1,1,2,3,3,2,6,0,3,0,2,1,1,3,3,4,2,4,0,Kansas,SAC
SG,WAS,12.4,2.0,-1.1,2018,8,16,1350.0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,1,2,0,Kentucky,TOR
SF,TOR,13.0,2.9,0.3,2018,12,1,1400.0,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,3,0,1,1,2,1,0,0,0,2,1,0,0,1,0,0,MEM
C,MIL,11.1,0.0,-5.6,2018,7,15,1075.0,0,2,2,0,1,0,2,1,2,1,1,1,0,0,2,1,2,4,1,1,1,0,1,0,3,4,1,2,3,0,Georgetown,PHI
C,PHO,21.0,1.4,2.1,2018,7,29,1280.0,0,2,2,0,1,0,2,1,2,1,1,1,0,0,2,1,0,4,1,1,1,0,1,0,3,4,1,2,3,0,Georgetown,PHI
C,BOS,23.0,2.0,3.6,2018,7,3,2500.0,0,2,2,0,0,0,2,1,2,1,1,1,0,0,2,1,0,4,1,1,1,0,1,0,3,4,1,2,3,0,Georgetown,PHI
PF,DET,13.9,2.3,0.5,2018,2,18,1100.0,0,1,3,1,0,2,0,0,1,0,1,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,2,1,Oregon State,TOR
PF,WAS,13.2,3.3,-1.3,2018,6,16,1350.0,1,2,1,0,1,0,2,1,0,3,1,2,1,1,1,0,3,3,1,0,2,1,1,0,1,3,3,2,1,4,Kansas,OKC
PG,DEN,12.3,0.3,-3.5,2018,2,13,1125.0,1,1,1,2,0,2,0,0,2,0,0,3,0,2,0,0,1,0,5,1,0,1,1,0,2,2,2,0,1,1,0,NYK
PG,POR,14.2,3.2,0.7,2018,3,6,1300.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,2,0,1,0,0,UConn,BRK
C,NYK,15.6,0.1,-0.8,2018,10,21,3600.0,0,2,0,0,1,1,1,1,1,1,0,1,2,0,1,1,0,1,1,0,0,0,1,0,2,0,2,1,2,2,Florida,MEM
C,DAL,16.2,1.3,0.5,2018,3,27,1900.0,0,0,1,0,0,2,1,0,0,2,0,2,0,3,1,1,1,4,1,1,0,0,1,0,4,1,2,0,4,3,Kentucky,OKC
SG,CHI,12.2,2.4,-2.5,2018,1,23,2600.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Cal Poly,CLE
C,NYK,20.0,4.8,3.1,2018,5,21,3600.0,0,1,2,4,1,1,3,2,2,4,1,0,1,4,2,4,3,2,2,2,1,1,3,2,1,4,0,1,4,4,Norfolk State,IND
C,PHI,8.8,0.0,-6.3,2018,2,4,1180.0,2,0,5,2,2,2,1,1,0,1,0,0,1,1,1,2,3,3,0,1,2,3,3,0,1,4,3,2,3,1,Duke,NOP
C,BRK,15.8,0.6,-1.4,2018,2,22,2300.0,2,0,5,2,2,0,1,1,0,1,0,0,1,1,1,2,3,3,0,1,2,3,3,0,1,4,3,2,3,1,Duke,NOP
C,GSW,17.0,3.3,0.0,2018,14,2,3100.0,0,0,0,0,1,0,2,3,1,1,0,0,1,1,1,0,1,0,1,1,1,3,0,1,2,1,2,0,0,1,0,DET
PF,MIL,17.1,1.2,-0.8,2018,3,15,1075.0,2,1,5,1,3,1,2,1,0,2,1,2,1,3,1,0,1,3,1,0,2,0,2,0,3,1,3,3,3,1,Duke,WAS
PG,SAS,12.7,1.4,-3.3,2018,16,12,1550.0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,2,0,1,0,0,1,0,0,0,CHO
C,MIN,19.8,0.0,3.2,2018,0,11,1060.0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,3,0,0,Creighton,PHI
PG,CHI,14.0,0.8,-0.4,2018,2,23,2600.0,2,2,4,0,3,3,3,2,4,3,2,1,2,2,2,1,2,10,1,6,4,0,1,0,5,4,3,3,2,4,Murray State,CLE
PG,ORL,18.1,2.7,1.1,2018,3,25,1225.0,2,0,0,0,1,2,1,1,2,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,3,1,1,0,1,0,LA-Lafayette,NOP
PG,PHO,13.1,0.1,-3.2,2018,3,29,1280.0,2,0,0,0,1,2,1,1,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,1,1,0,1,0,LA-Lafayette,NOP
C,TOR,17.5,5.6,0.4,2018,1,1,1400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS
