player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,year,career_len,rank,value,affinity,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,college,twitter_id,left,target
Khem Birch,C,26,ORL,50,643,19.2,0.64,0.006999999999999999,0.55,13.0,18.8,15.8,8.5,1.4,3.8,9.6,14.1,1.8,1.0,2.8,0.212,0.1,1.0,1.2,0.5,2019,1,14,1300.0,True,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,2,2,"Pitt, UNLV",141090757,,
Bismack Biyombo,C,26,CHO,54,783,14.4,0.602,0.0,0.583,11.0,23.3,17.0,5.9,0.7,4.6,14.8,12.7,1.2,0.8,2.0,0.125,-2.4,0.0,-2.5,-0.1,2019,7,16,1220.0,True,1,0,0,0,1,1,0,1,2,0,3,2,1,2,0,1,2,1,1,2,0,1,2,0,0,1,2,0,0,3,0,273532957,,
Nemanja Bjelica,PF,30,SAC,77,1788,15.4,0.585,0.433,0.155,7.0,18.8,12.8,11.1,1.4,2.7,11.5,16.5,2.7,1.9,4.5,0.122,0.4,0.5,0.9,1.3,2019,3,18,1575.0,True,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,3695411717,,
Antonio Blakeney,SG,22,CHI,57,829,10.6,0.487,0.23,0.192,0.9,13.1,6.9,8.2,0.7,0.9,7.5,24.5,-0.8,0.3,-0.5,-0.03,-2.4,-2.7,-5.2,-0.7,2019,1,26,2900.0,True,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2,2,1,1,0,1,0,2,0,1,0,2,3,1,1,LSU,381217568,,
Eric Bledsoe,PG,29,MIL,78,2272,19.3,0.5770000000000001,0.388,0.243,3.9,11.8,8.1,27.4,2.4,1.1,13.3,22.9,4.4,3.7,8.2,0.173,1.9,1.2,3.1,2.9,2019,8,0,1350.0,True,3,2,2,1,2,4,3,0,3,2,0,0,0,3,2,1,3,4,2,1,2,0,0,2,5,2,0,2,4,1,Kentucky,98576365,,
Jaron Blossomgame,SF,25,CLE,27,439,10.2,0.51,0.368,0.123,6.3,19.1,12.4,4.2,0.8,1.6,9.0,12.2,0.2,0.1,0.3,0.03,-1.9,-1.8,-3.8,-0.2,2019,0,27,1270.0,True,0,1,2,0,1,0,0,0,0,1,0,2,3,1,0,0,0,3,0,1,3,1,0,2,0,0,0,0,0,0,Clemson,309449857,,
Bogdan Bogdanović,SG,26,SAC,70,1947,14.1,0.53,0.431,0.188,2.1,11.0,6.4,19.3,1.7,0.7,11.1,22.3,1.3,1.4,2.7,0.067,-0.1,-0.6,-0.6,0.7,2019,1,18,1575.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bojan Bogdanović,SF,29,IND,81,2573,16.1,0.613,0.3670000000000001,0.29,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.126,1.3,-0.6,0.7,1.7,2019,4,10,1400.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Andrew Bogut,C,34,GSW,11,134,13.4,0.523,0.0,0.083,10.0,32.8,21.9,10.6,1.1,5.0,17.7,14.5,0.1,0.2,0.3,0.111,-3.7,0.8,-2.9,0.0,2019,13,2,3500.0,True,0,3,0,0,1,0,0,4,2,0,0,3,1,0,0,1,1,0,2,1,0,0,0,4,2,1,0,0,0,1,Utah,1036325418,,
Jonah Bolden,PF,23,PHI,44,639,12.7,0.595,0.593,0.16699999999999998,8.0,19.0,13.7,8.5,1.3,4.8,17.2,13.8,0.5,0.9,1.4,0.106,-1.8,1.1,-0.7,0.2,2019,0,6,1625.0,True,0,0,2,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,3,1,1,0,0,1,1,0,0,1,1,1,UCLA,1330173709,,
Isaac Bonga,PG,19,LAL,22,120,6.0,0.24,0.242,0.455,7.9,13.5,10.8,14.9,3.5,2.7,13.2,15.7,-0.3,0.2,-0.1,-0.059,-7.0,2.2,-4.8,-0.1,2019,0,19,3700.0,True,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,822469101620723717,,
Devin Booker,SG,22,PHO,64,2242,20.2,0.584,0.33,0.362,1.9,11.3,6.5,34.1,1.2,0.5,15.4,32.9,3.3,0.3,3.5,0.076,3.3,-2.3,1.0,1.7,2019,3,28,1500.0,True,2,2,5,2,1,4,1,0,0,2,0,2,0,2,2,5,0,1,3,2,3,2,0,2,5,2,2,1,4,1,Kentucky,237073728,,
